id,name,university,domain,depts,field,url
3388,Sourav Ghosh,University of Arizona,arizona.edu,Basic Medical Science</li><li>Medical Physics</li><li>Molecular Pathology</li><li>Center for Neural Science</li><li>Medical Pharmacology</li><li>Basic Medical Sciences</li><li>Medical Neurobiology</li><li>Medical Science</li><li>Medical Education and Biomedical Informatics</li><li>Social and Preventative Medicine,Medical Sciences,http://www.ghoshlab.arizona.edu/index.php?s=people&id=23
64303,Rodger K Woodruff,University of Washington,washington.edu,"Civil Engineering</li><li>Structural Engineering</li><li>Civil, Construction and Environmental Engineering</li><li>Civil, Structural and Environmental Engineering</li><li>Environmental Engineering</li><li>Civil and Environmental Engineering</li><li>Transportation Technology and Policy</li><li>Civil and Materials Engineering</li><li>Civil Engineering(Water Resources)</li><li>Civil Engineering(Structural Engineering)",Civil and Environmental Engineering,http://staff.washington.edu/peaklist/publications.html
11417,Frank A Sloan,Duke University,duke.edu,Economics</li><li>Applied Economics</li><li>Development</li><li>Economics and Business</li><li>Applied Economics and Management</li><li>Health Care Management and Economics</li><li>Economics and International Affairs,Economics,http://econ.duke.edu/people?Uil=1344&subpage=profile
24943,Richard H Bernsten,Michigan State University,msu.edu,"Agricultural Economics</li><li>Agricultural and Resource Economics</li><li>Agricultural and Applied Economics</li><li>Agricultural, Food and Resource Economics</li><li>Agricultural, Environmental and Development Economics</li><li>Agricultural and Consumer Economics</li><li>Agricultural, Environmental and Developmental Economics",Agricultural and Resource Economics,https://www.msu.edu/~bernsten/
27702,Sarah Eno,University of Maryland College Park,umd.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,http://www2.physics.umd.edu/~eno/
37890,Shawn Cole,University of Pennsylvania,upenn.edu,Economics</li><li>Applied Economics</li><li>Development</li><li>Economics and Business</li><li>Applied Economics and Management</li><li>Health Care Management and Economics</li><li>Economics and International Affairs,Economics,http://fic.wharton.upenn.edu/fic/india/23%20banerjee%20cole%20duflo.pdf
36740,Barbara Grandstaff,University of Pennsylvania,upenn.edu,"Geological Sciences</li><li>Geology</li><li>Geosciences</li><li>Earth and Planetary Science</li><li>Earth and Environmental Sciences</li><li>Earth Sciences</li><li>Soil, Water and Environmental Science</li><li>Hydrology</li><li>Geophysical Sciences</li><li>Planetary Sciences</li><li>Earth and Space Sciences</li><li>Geological and Atmospheric Sciences</li><li>Soils and Biogeochemistry",Earth Sciences,http://www.vet.upenn.edu/docs/default-source/Student-Life-Materials/anatomyintro-june-2015.pdf?sfvrsn=2
60210,Rupa R Lallinger,University of North Carolina Chapel Hill,unc.edu,"Nursing Science</li><li>Nursing</li><li>Nursing Studies</li><li>Nursing and Healthcare Innovation</li><li>Environmental and Occupational Health Sciences</li><li>Nursing Research and Science</li><li>Nursing-Women, Children and Family Health Science</li><li>Women, Child and Family Health Science Nursing</li><li>Nursing Science and Theory Development</li><li>Nursing Research",Nursing,http://www.med.unc.edu/gi/centers/unc-comprehensive-sickle-cell-program-1/our-personnel
16933,Steven S Lumetta,University of Illinois at Urbana-Champaign,illinois.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,http://web.engr.illinois.edu/~lumetta/
39193,David G K Taylor,Princeton University,princeton.edu,"History</li><li>History and Philosophy of Science</li><li>History of Science</li><li>History of American Civilization</li><li>Conceptual and Historical Studies of Science</li><li>History of Science, Technology and Medicine</li><li>History (Science Studies)</li><li>History of Science and Technology</li><li>History and Sociology of Science</li><li>History of Culture",History,http://library.princeton.edu/byzantine/translation/15051
