id,name,university,domain,depts,field,dupct
19746,Christopher Stipp,University of Iowa,uiowa.edu,"Biology</li><li>Biological Sciences</li><li>Biology: Medical Sciences, Division of</li><li>Integrative Biology</li><li>Biology, Molecular and Cellular</li><li>Biological Science</li><li>Biology, Organismic and Evolutionary</li><li>Biology </li><li>Biology: Medical Sciences</li><li>Free Radical and Radiation Biology",Biology,1
45385,Robin F Young,University of Texas Austin,utexas.edu,"Pharmaceutical Sciences</li><li>Pharmacy</li><li>Industrial and Physical Pharmacy</li><li>Pharmaceutics</li><li>Pharmaceutical Economics and Policy</li><li>Social and Administrative Pharmacy</li><li>Pharmacy Practice</li><li>Social, Administrative and Clinical Pharmacy</li><li>Biopharmaceutical Sciences</li><li>Social and Administrative Sciences in Pharmacy",Pharmacy and Pharmaceutical Sciences,1
47743,Thomas Ivey,University of Colorado Boulder,colorado.edu,"Mathematics</li><li>Mathematics, Statistics and Computer Science</li><li>Scientific Computation",Mathematics,1
61584,Jeffrey S Mccombs,University of Southern California,usc.edu,"Pharmaceutical Sciences</li><li>Pharmacy</li><li>Industrial and Physical Pharmacy</li><li>Pharmaceutics</li><li>Pharmaceutical Economics and Policy</li><li>Social and Administrative Pharmacy</li><li>Pharmacy Practice</li><li>Social, Administrative and Clinical Pharmacy</li><li>Biopharmaceutical Sciences</li><li>Social and Administrative Sciences in Pharmacy",Pharmacy and Pharmaceutical Sciences,1
11184,Clifford Cunningham,Duke University,duke.edu,"Biology</li><li>Biological Sciences</li><li>Biology: Medical Sciences, Division of</li><li>Integrative Biology</li><li>Biology, Molecular and Cellular</li><li>Biological Science</li><li>Biology, Organismic and Evolutionary</li><li>Biology </li><li>Biology: Medical Sciences</li><li>Free Radical and Radiation Biology",Biology,1
22414,Sally D Logsdon,Iowa State University,iastate.edu,Agronomy</li><li>Plant Biology</li><li>Plant Pathology</li><li>Plant Biological Sciences</li><li>Botany and Plant Pathology</li><li>Applied Plant Sciences</li><li>Horticulture and Agronomy</li><li>Horticulture</li><li>Plant Science</li><li>Crop Sciences,Plant Sciences,1
27541,Richard L Raesly,University of Maryland College Park,umd.edu,Marine-Estuarine-Environmental Sciences</li><li>Marine biology</li><li>Marine Science</li><li>Marine Sciences</li><li>Marine Science and Conservation</li><li>Marine Estuarine Environmental Sciences</li><li>Limnology and Marine Science,Marine Biology,1
55115,Hector V Ilarraza,University of California San Diego,ucsd.edu,"Chemistry</li><li>Chemistry and Chemical Biology</li><li>Chemistry and Biochemistry</li><li>Chemistry </li><li>Chemical Biology</li><li>Chemistry (Chemical Physics)</li><li>Environmental Chemistry and Technology</li><li>Chemistry, Physical</li><li>Organic Chemistry</li><li>Chemistry, Biochemistry",Chemistry,1
45285,Petros Maniatis,University of Texas Austin,utexas.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,1
15561,Arlene Torres,University of Illinois at Urbana-Champaign,illinois.edu,"Folklore and Ethnomusicology</li><li>Cultural Anthropology</li><li>Evolutionary Anthropology</li><li>Medical Anthropology</li><li>Archaeology</li><li>Anthropology and Linguistics</li><li>Anthropology and History</li><li>Social Anthropology</li><li>Anthropology and Middle Eastern Studies</li><li>Anthropology, Archeology",Anthropology,1
994,Martha R Mccartney,Arizona State University,asu.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,1
4215,Enrique Iglesia,University of California Berkeley,berkeley.edu,Chemical Engineering</li><li>Bioengineering</li><li>Chemical and Biological Engineering</li><li>Biomolecular Science and Engineering</li><li>Petroleum Engineering</li><li>Chemical and Biochemical Engineering</li><li>Biomolecular Chemistry</li><li>Chemical and Biomedical Engineering</li><li>Chemical and Biomolecular Engineering</li><li>Chemical and Petroleum Engineering,Chemical Engineering,1
62279,Sampath Rajagopalan,University of Southern California,usc.edu,"Applied Management and Decision Sciences</li><li>Business Administration</li><li>Business</li><li>Management</li><li>Administration, Leadership and Technology</li><li>Managerial Economics and Strategy</li><li>Management and Organizations</li><li>Operations Research</li><li>Operations and Information Management</li><li>Operations Research and Financial Engineering","Business Administration, Management, and Operations",1
26710,Judith Shinogle,University of Maryland College Park,umd.edu,"Management Information Systems</li><li>Business and Management: Decision and Information Technologies</li><li>Information Management and Systems</li><li>Information Management</li><li>Information, Risk and Operations Management</li><li>Information and Decision Sciences</li><li>Business Information Systems</li><li>Information, Operations and Management Sciences",Management Information Systems,1
32989,Peter Schuck,New York University,nyu.edu,Law and Society</li><li>Law,Law and Society,1
15975,Gillen Wood,University of Illinois at Urbana-Champaign,illinois.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,1
6222,Dan Steingart,City University of New York,cuny.edu,"Engineering</li><li>Engineering and Applied Sciences</li><li>Engineering Administration</li><li>Textiles and Clothing</li><li>Control Science and Dynamical Systems</li><li>Welding Engineering</li><li>Engineering Science</li><li>Engineering Sciences</li><li>Fiber Science</li><li>Engineering, Materials Science",Engineering Science and Materials,1
30555,Saif Benjaafar,University of Minnesota,umn.edu,Industrial Engineering</li><li>Industrial and Systems Engineering</li><li>Industrial Engineering and Management Sciences</li><li>Industrial and Manufacturing Systems Engineering</li><li>Industrial Engineering and Operations Research</li><li>Reliability Engineering</li><li>Systems and Industrial Engineering</li><li>Industrial and Manufacturing Engineering</li><li>Packaging</li><li>Engineering Sciences and Computational Science,"Operations Research, Systems Engineering and Industrial Engineering",1
